TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 1000
timestep	f_total	f_elasticity	f_contraction	f_adhesion	f_motility	e_total	e_elasticity	e_adhesion	e_contraction	shape
3.4	25.5931	25.1478	17.9319	7.80034	20.872	77.8066	0.793509	46.6619	30.3512	3.88849
3.41	25.1655	24.851	17.8561	7.75919	21.631	77.7719	0.776279	46.6552	30.3404	3.88794
3.42	24.6099	24.8325	17.8587	7.75372	22.2236	77.766	0.773346	46.6541	30.3386	3.88784
3.43	26.0568	24.7992	17.8392	7.74764	23.6021	77.7603	0.771044	46.6528	30.3364	3.88774
3.44	23.8332	24.8342	17.8147	7.74047	24.7654	77.7548	0.772614	46.6497	30.3324	3.88748
3.45	26.0881	24.8434	17.7998	7.73688	21.7853	77.7493	0.773621	46.6469	30.3288	3.88724
3.46	25.9084	24.8228	17.7912	7.73342	24.4507	77.7447	0.771133	46.6462	30.3274	3.88718
3.47	24.8839	24.8224	17.782	7.73137	22.063	77.7391	0.770089	46.6443	30.3248	3.88702
3.48	26.2432	24.7928	17.7728	7.72841	23.4502	77.7348	0.768798	46.6431	30.3229	3.88692
3.49	22.9343	24.7888	17.7564	7.72226	23.9182	77.7291	0.768054	46.641	30.32	3.88675
3.5	26.6164	24.7788	17.759	7.71969	23.4243	77.7254	0.767169	46.6399	30.3183	3.88666
3.51	26.1791	24.7709	17.7285	7.71388	23.195	77.7207	0.766552	46.6382	30.3159	3.88652
3.52	25.2185	24.7513	17.7263	7.71326	24.3419	77.7163	0.764727	46.6372	30.3143	3.88644
3.53	23.783	24.7407	17.7169	7.70889	23.3551	77.7126	0.763069	46.6365	30.3131	3.88637
3.54	24.5883	24.7256	17.7096	7.7078	20.9051	77.7079	0.761738	46.6351	30.3111	3.88626
3.55	21.173	24.7006	17.6988	7.70422	20.7974	77.7034	0.761318	46.6335	30.3087	3.88612
3.56	26.7067	24.6982	17.6892	7.7022	21.5969	77.6997	0.760696	46.6322	30.3069	3.88601
3.57	25.5408	24.688	17.6782	7.69641	25.3455	77.6946	0.758509	46.6311	30.305	3.88592
3.58	23.7106	24.6539	17.6754	7.69417	23.9402	77.6894	0.756846	46.6297	30.3029	3.8858
3.59	23.5991	24.6668	17.667	7.68913	26.1814	77.6841	0.75701	46.6273	30.2998	3.88561
3.6	25.0157	24.6469	17.6519	7.68253	19.2241	77.6802	0.755614	46.6263	30.2983	3.88553
3.61	22.968	24.6359	17.6379	7.68056	25.9414	77.6761	0.753854	46.6254	30.2968	3.88545
3.62	26.2765	24.6478	17.6344	7.68334	27.7561	77.6712	0.753853	46.6233	30.294	3.88527
3.63	25.1891	24.6097	17.6226	7.68065	23.8204	77.667	0.750439	46.6231	30.2934	3.88526
3.64	23.5655	24.6065	17.6077	7.67828	19.4493	77.6626	0.749448	46.6218	30.2914	3.88515
3.65	25.4594	24.5852	17.5976	7.6752	22.8749	77.6584	0.748263	46.6206	30.2895	3.88505
3.66	22.9085	24.5673	17.5957	7.67329	23.1291	77.6544	0.747403	46.6193	30.2877	3.88494
3.67	22.3022	24.5693	17.589	7.66797	24.5664	77.6508	0.748106	46.6175	30.2852	3.88479
3.68	25.5481	24.5544	17.576	7.66527	23.2687	77.6472	0.747992	46.616	30.2833	3.88467
3.69	26.0834	24.5565	17.5727	7.66251	23.1985	77.6431	0.746535	46.6149	30.2817	3.88457
3.7	26.862	24.5242	17.556	7.65943	21.6276	77.6391	0.745368	46.6138	30.28	3.88448
3.71	22.8968	24.5271	17.5465	7.65753	21.1975	77.6342	0.745562	46.6116	30.2771	3.8843
3.72	25.9179	24.4845	17.5591	7.65996	22.9241	77.6303	0.742741	46.6113	30.2763	3.88428
3.73	23.0986	24.4692	17.5434	7.65484	24.17	77.6262	0.741839	46.6099	30.2744	3.88416
3.74	25.5332	24.4413	17.5349	7.65054	23.72	77.6223	0.739453	46.6094	30.2734	3.88412
3.75	25.2745	24.4339	17.546	7.65349	22.9144	77.6187	0.738376	46.6085	30.2718	3.88404
3.76	26.5446	24.4645	17.5259	7.6496	24.4252	77.6149	0.739594	46.6062	30.2691	3.88385
3.77	22.6853	24.4319	17.5285	7.6471	20.7001	77.6108	0.73781	46.6053	30.2676	3.88378
3.78	25.3477	24.4341	17.518	7.64489	28.6918	77.6069	0.736795	46.6042	30.2659	3.88368
3.79	27.6323	24.4242	17.5102	7.64433	21.4927	77.6029	0.735149	46.6033	30.2645	3.88361
3.8	25.5427	24.421	17.5092	7.64166	20.985	77.5983	0.734542	46.6016	30.2621	3.88346
