timestep = 0
vx	vy
9.37689	2.24886	
2.58454	5.83935	
4.98113	9.11595	
3.90343	8.29655	
5.10436	8.40029	
4.99495	8.26472	
3.54019	8.15927	
3.29159	8.80294	
2.47684	7.72114	
2.59392	9.14468	
1.17826	9.27349	
1.14491	8.85867	
6.38485	6.19659	
6.985	7.73311	
5.74728	5.85356	
0.46659	7.84562	
1.13028	8.44463	
1.16129	8.65761	
1.1244	8.80769	
0.514218	7.15979	
0.427732	7.26827	
3.84611	9.57429	
3.77749	9.72607	
4.6889	9.27361	
4.65409	9.26696	
5.06451	4.25627	
5.73099	4.02067	
6.96235	2.77722	
7.42043	2.91548	
8.01632	2.63194	
7.82261	2.86842	
6.53206	1.69786	
5.75687	3.01489	
5.67278	3.0562	
0.202429	4.66703	
0.468066	4.02872	
0.460135	3.72387	
3.08117	2.26537	
2.87184	2.64019	
1.75058	1.46852	
1.17685	1.83739	
0.668165	1.6257	
9.02077	0.245561	
9.54023	0.785778	
8.52997	1.08805	
9.79764	3.2469	
2.55096	5.6106	
2.80592	4.83143	
3.361	5.16606	
1.70681	4.61308	
1.69974	4.75912	
2.46257	3.87027	
2.65388	3.87829	
2.50839	4.95259	
2.37063	5.07261	
1.31822	4.81346	
1.56909	4.83331	
0.335947	5.1408	
1.1465	6.07171	
1.25362	5.9637	
0.0562127	5.71323	
0.157838	5.67575	
2.36974	8.79163	
2.15453	8.39422	
2.42717	7.94499	
2.8578	8.91397	
2.6369	9.05741	
5.59421	5.95324	
5.66086	5.92933	
5.55383	6.90988	
6.57837	7.44435	
9.02381	0.131475	
2.71458	1.33107	
2.92713	1.49345	
3.20418	1.39261	
2.62241	0.238024	
2.64367	0.215673	
6.00369	1.33473	
5.51031	0.709866	
4.93989	1.992	
4.5286	1.28512	
4.58624	1.67638	
2.96236	3.75525	
3.08075	3.49684	
3.72812	4.53768	
3.30432	4.42125	
4.7911	3.95385	
4.25289	3.79025	
4.14853	3.61598	
5.25278	2.95365	
4.79083	2.3858	
4.21429	2.65921	
8.45546	1.15799	
9.33078	0.960064	
8.89495	2.04942	
8.92701	2.10057	
9.26096	2.19348	
4.78895	0.842541	
5.23131	0.632536	
4.04316	0.673531	
3.98212	0.760918	
7.9612	0.0130794	
8.18886	1.0226	
7.76392	0.664908	
7.6362	1.75807	
7.48216	1.8405	
6.32236	1.38816	
6.43306	1.6629	
4.04863	0.458778	
4.84692	0.267087	
6.50383	1.14604	
7.59734	0.696333	
timestep = 0.02
vx	vy
5.73317	9.42332	
6.69539	9.22366	
6.22585	5.07108	
8.91648	4.92376	
8.77225	4.95162	
9.44067	7.23068	
1.11522	9.79016	
8.17135	3.84559	
5.86682	4.05994	
6.596	3.8282	
4.14333	6.12698	
6.50215	7.91469	
4.9203	7.11835	
4.98152	7.39577	
4.87289	7.88927	
4.21543	6.55799	
2.32356	7.44536	
2.48348	7.08745	
3.81048	7.27714	
3.80373	7.72313	
6.63378	4.87971	
6.89053	4.08274	
7.51447	4.14241	
7.32061	4.06248	
7.36457	5.90052	
5.03376	4.63217	
4.25992	5.53743	
4.27051	5.93114	
9.69622	6.51468	
9.98234	6.06219	
9.97614	5.9093	
1.63326	7.55876	
1.04499	6.96681	
0.933289	9.81044	
9.58798	8.31236	
9.09913	7.42644	
9.5768	8.64942	
9.86511	9.69185	
7.73162	8.09813	
6.79005	9.04123	
6.58638	9.22044	
8.73241	3.56445	
8.21514	3.75254	
8.31426	2.52363	
1.35861	3.52293	
1.22979	2.3542	
9.42416	3.47605	
9.31732	4.39442	
4.00697	5.22096	
2.4748	6.73043	
2.78143	6.13158	
1.22653	6.43057	
3.61569	8.11919	
1.02742	9.71506	
7.47289	5.78121	
7.16948	5.15983	
7.61047	4.56615	
8.28335	5.6266	
8.42135	5.27996	
6.08214	5.27122	
5.99388	5.30953	
6.91997	5.85433	
9.58998	5.9715	
9.17054	6.4706	
8.75337	7.3296	
8.70381	6.66017	
7.54011	7.92012	
8.49866	6.01066	
8.51466	6.0158	
7.09036	7.88871	
7.12528	7.51995	
7.02291	7.81285	
7.02327	7.77109	
9.5016	8.83731	
9.49623	8.75767	
9.32518	8.68958	
8.23246	8.91492	
7.11217	9.24821	
8.50344	9.72428	
8.53226	9.46876	
8.4497	9.35639	
0.310181	9.90529	
6.56991	3.32433	
1.61667	3.17778	
1.64099	3.0544	
0.205092	1.61882	
9.93645	0.881411	
9.67542	3.21726	
9.3845	2.25214	
2.58162	5.83735	
4.9899	9.11168	
3.90534	8.29964	
5.1141	8.41027	
4.99305	8.2647	
3.53969	8.15801	
3.29151	8.80475	
2.47775	7.72152	
2.59141	9.14975	
1.1783	9.27765	
1.14591	8.86032	
6.38971	6.19753	
6.9849	7.72845	
5.74565	5.85321	
0.466723	7.84588	
1.13091	8.44154	
1.16308	8.65212	
1.12178	8.81177	
0.51618	7.15596	
0.426436	7.27063	
3.84479	9.57211	
3.77448	9.73229	
4.69085	9.27552	
4.65027	9.26587	
