timestep = 0
vx        vy
4.20167   0.31659         
4.73992  0.551473         
5.05977   1.78593         
5.1928   3.13591         
3.99014   3.35214         
3.27226   3.28944         
timestep = 0.6
vx        vy
1.88573   5.85723         
7.31451   1.29332         
7.30947   0.30642         
6.83368   1.04312         
0.058849   1.62217         
7.13359   2.27679         
6.55342   1.50474         
0.456581   1.56547         
0.257086   4.72247         
0.858657   6.02315         
0.594483   0.58682         
0.919647   1.04733         
0.508197   1.31555         
0.971816   1.99637         
0.5488   2.80755         
0.671746   2.77666         
2.29033   5.33905         
1.7071   6.06975         
1.9048  0.519353         
1.53329   1.07884         
1.53639   1.93298         
1.53726    1.9922         
2.22521    2.9868         
0.293946    2.4126         
1.76329   4.79594         
2.81821   5.54043         
2.07617  0.584642         
2.81198   1.23109         
2.58653   1.98641         
2.87562   2.26866         
3.11955   2.75844         
2.75635    2.9192         
3.89716   4.99894         
3.34774   5.57828         
3.25749  0.232443         
3.57254  0.953417         
4.72767   1.67878         
3.86446   2.34256         
3.04405    2.3256         
4.08001   2.94891         
3.04665   5.52824         
3.88718   2.64305         
4.03994  0.267559         
4.58908  0.438728         
5.05363   1.70798         
4.95704   3.07805         
3.71111   3.18046         
4.27475   4.21822         
timestep = 0.7
vx        vy
2.18539    5.7478         
6.80095   1.28884         
7.080310.00692119         
6.99278  0.869439         
7.75624   1.42338         
7.14787   2.50124         
6.45231  0.480363         
0.372969   1.53147         
7.85243   4.67816         
0.823904   5.84803         
0.526772  0.488584         
0.804181  0.915081         
0.386051   1.16187         
0.923417   1.84877         
0.297947   2.83563         
0.457305    2.6056         
2.3923   4.92628         
1.54301   5.82893         
1.82003   0.37728         
1.43523  0.947615         
1.42586   1.79274         
1.44725   1.90806         
2.08435   3.23431         
0.439049   2.25288         
1.61394   4.61702         
2.8223   4.96473         
1.96592   0.51214         
2.78032   1.13198         
2.46579    1.8452         
2.7572   2.09728         
3.00462   2.69298         
2.57992   2.85974         
3.58873   4.90008         
3.1694   5.31986         
3.17075 0.0802679         
3.50249  0.865017         
4.76255   1.61665         
3.89743    2.2079         
3.04934   2.15154         
3.89501   2.96245         
2.81979   5.39301         
3.52619   2.18845         
3.94494  0.220199         
4.45013  0.288707         
4.98554   1.64453         
4.85658   3.37138         
3.57118   3.04651         
4.2767   4.13391         
timestep = 0.8
vx        vy
2.43233   5.57045         
6.30512   1.35372         
6.82879   5.91316         
6.84889  0.728809         
0.0956985  0.225733         
7.46539   2.89037         
6.75373   5.92593         
7.67539   2.04731         
7.40516   4.68078         
0.780988    5.7142         
0.465949  0.367829         
0.693782  0.779713         
0.19964   1.19563         
0.600861    1.7077         
0.19881   2.41235         
0.181581    2.4443         
2.55447   4.54187         
1.38585   5.65451         
1.73684  0.229567         
1.33671  0.811781         
1.31842    1.6631         
1.35589   1.84014         
1.95119   3.36459         
0.518712   2.01008         
1.54389   4.45684         
2.84771   4.38135         
1.84243  0.460214         
2.74751   1.03221         
2.34057   1.72132         
2.62345     1.941         
2.91867   2.60737         
2.45786    2.8531         
3.3387   4.80763         
2.81553   4.97148         
3.14901   5.99632         
3.43707  0.771878         
