2	17	0	1
0	12	0	1
0	2	0	0
2	0	0	0
0	3	0	0
3	0	0	0
3	13	1	0
8	19	1	0
9	19	1	0
8	10	0	0
10	8	0	0
9	10	0	0
10	9	0	0
4	18	1	0
4	5	0	0
5	4	0	0
5	8	0	0
8	5	0	0
3	9	0	0
9	3	0	0
5	6	0	0
6	5	0	0
6	7	0	0
7	6	0	0
7	10	0	0
10	7	0	0
1	2	0	0
2	1	0	0
1	7	0	0
7	1	0	0
4	12	0	0
12	4	0	0
6	11	0	0
11	6	0	0
11	12	0	0
12	11	0	0
12	0	0	-1
13	18	0	1
13	3	-1	0
1	14	0	0
14	1	0	0
13	14	0	0
14	13	0	0
16	18	0	0
18	16	0	0
16	17	0	0
17	16	0	0
17	2	0	-1
18	13	0	-1
11	17	0	0
17	11	0	0
14	15	0	0
15	14	0	0
15	16	0	0
16	15	0	0
18	4	-1	0
19	9	-1	0
19	8	-1	0
15	19	0	0
19	15	0	0
