TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 7000
timestep             f_total        f_elasticity       f_contraction          f_adhesion             e_total        e_elasticity          e_adhesion       e_contraction
7.6             247.998             213.141             247.998             20.4376             1179.61             38.6534             72.8484             1122.74
7.7             247.998             213.117             247.998             20.4388             1179.59             38.6407             72.8491             1122.74
7.8             247.997             213.093             247.997               20.44             1179.57              38.628             72.8498             1122.73
7.9             247.996             213.068             247.996             20.4411             1179.56             38.6153             72.8505             1122.73
8             247.995             213.044             247.995             20.4423             1179.54             38.6027             72.8512             1122.72
8.1             247.995              213.02             247.995             20.4434             1179.52               38.59             72.8519             1122.72
8.2             247.994             212.995             247.994             20.4444             1179.51             38.5774             72.8526             1122.71
8.3             247.993             212.971             247.993             20.4455             1179.49             38.5648             72.8533             1122.71
8.4             247.992             212.946             247.992             20.4465             1179.47             38.5522              72.854             1122.71
8.5             247.992             212.922             247.992             20.4475             1179.46             38.5397             72.8547              1122.7
8.6             247.991             212.897             247.991             20.4484             1179.44             38.5271             72.8554              1122.7
8.7              247.99             212.873              247.99             20.4494             1179.42             38.5146             72.8561             1122.69
8.8             247.989             212.848             247.989             20.4503             1179.41             38.5021             72.8568             1122.69
8.9             247.989             212.824             247.989             20.4512             1179.39             38.4897             72.8575             1122.69
9             247.988             212.799             247.988              20.452             1179.37             38.4772             72.8583             1122.68
9.1             247.987             212.774             247.987             20.4529             1179.36             38.4648              72.859             1122.68
9.2             247.986              212.75             247.986             20.4537             1179.34             38.4524             72.8597             1122.67
9.3             247.986             212.725             247.986             20.4545             1179.32               38.44             72.8604             1122.67
9.4             247.985               212.7             247.985             20.4553             1179.31             38.4276             72.8611             1122.66
9.5             247.984             212.676             247.984             20.4561             1179.29             38.4153             72.8618             1122.66
9.6             247.983             212.651             247.983             20.4568             1179.28              38.403             72.8625             1122.66
9.7             247.983             212.626             247.983             20.4576             1179.26             38.3907             72.8633             1122.65
9.8             247.982             212.601             247.982             20.4583             1179.24             38.3784              72.864             1122.65
9.9             247.981             212.576             247.981              20.459             1179.23             38.3661             72.8647             1122.64
10              247.98             212.552              247.98             20.4597             1179.21             38.3539             72.8654             1122.64
10.1              247.98             212.527              247.98             20.4604             1179.19             38.3417             72.8662             1122.64
10.2             247.979             212.502             247.979              20.461             1179.18             38.3295             72.8669             1122.63
10.3             247.978             212.477             247.978             20.4617             1179.16             38.3173             72.8676             1122.63
10.4             247.977             212.452             247.977             20.4623             1179.15             38.3052             72.8683             1122.62
10.5             247.977             212.427             247.977             20.4629             1179.13             38.2931             72.8691             1122.62
10.6             247.976             212.402             247.976             20.4635             1179.11              38.281             72.8698             1122.61
10.7             247.975             212.377             247.975             20.4641              1179.1             38.2689             72.8705             1122.61
10.8             247.974             212.352             247.974             20.4647             1179.08             38.2568             72.8712             1122.61
10.9             247.974             212.327             247.974             20.4652             1179.06             38.2448              72.872              1122.6
11             247.973             212.302             247.973             20.4658             1179.05             38.2328             72.8727              1122.6
11.1             247.972             212.277             247.972             20.4663             1179.03             38.2208             72.8734             1122.59
