timestep = 0
vx	vy
9.36532	2.25173	
2.61951	5.84403	
4.96709	9.12785	
3.86473	8.28441	
5.08949	8.41097	
5.03288	8.27101	
3.56417	8.16283	
3.29156	8.79533	
2.46521	7.69863	
2.61891	9.13374	
1.14151	9.27848	
1.14314	8.85672	
6.36814	6.19963	
6.98718	7.74351	
5.72274	5.84317	
0.478129	7.83775	
1.13964	8.47401	
1.1444	8.67182	
1.14564	8.80594	
0.52235	7.1864	
0.44237	7.25693	
3.85103	9.59079	
3.78604	9.70173	
4.68593	9.25842	
4.67351	9.28092	
5.05605	4.25984	
5.73198	4.04556	
6.96156	2.76871	
7.42255	2.88493	
8.03517	2.65889	
7.82049	2.85628	
6.48327	1.67951	
5.73135	3.02682	
5.67028	3.03608	
0.222071	4.68083	
0.450165	3.99924	
0.450204	3.71533	
3.06554	2.2542	
2.88622	2.61963	
1.74013	1.4647	
1.17602	1.83233	
0.662902	1.66509	
9.01305	0.219029	
9.56684	0.778598	
8.49605	1.13324	
9.75712	3.26588	
2.54511	5.60592	
2.77017	4.81745	
3.39796	5.16229	
1.68702	4.64653	
1.69694	4.7635	
2.48656	3.86811	
2.66359	3.84705	
2.49643	4.993	
2.36363	5.07838	
1.3522	4.82901	
1.59002	4.80876	
0.319394	5.15613	
1.14941	6.07707	
1.22191	5.98163	
0.104031	5.69739	
0.11128	5.69616	
2.40819	8.79766	
2.1536	8.38469	
2.4224	7.90852	
2.86997	8.94848	
2.65193	9.07705	
5.60268	5.9257	
5.64649	5.91237	
5.55702	6.92071	
6.58535	7.4469	
9.02333	0.137205	
2.73153	1.34438	
2.90729	1.49211	
3.20618	1.38624	
2.63359	0.23863	
2.63291	0.231939	
6.02821	1.33858	
5.51659	0.738871	
4.95238	2.00475	
4.52634	1.3122	
4.59877	1.68209	
2.96649	3.73943	
3.06114	3.49568	
3.72645	4.54773	
3.31801	4.42072	
4.78603	3.9789	
4.26108	3.77511	
4.17139	3.63037	
5.25637	2.93546	
4.78411	2.37195	
4.22049	2.64776	
8.47877	1.13605	
9.34293	0.9305	
8.91706	2.05977	
8.94614	2.10083	
9.25815	2.19976	
4.81288	0.827785	
5.26384	0.627942	
3.98329	0.735676	
4.00981	0.688312	
7.97038	0.0220529	
8.21402	0.99655	
7.75942	0.672304	
7.60091	1.76539	
7.45753	1.82892	
6.31518	1.39327	
6.46977	1.67168	
4.02519	0.468482	
4.86596	0.272709	
6.51539	1.15161	
7.61378	0.714148	
timestep = 0.02
vx	vy
5.74164	9.39469	
6.63204	9.20876	
6.23436	5.12252	
8.87762	4.91853	
8.79265	4.99561	
9.40219	7.26553	
1.05325	9.73828	
8.16162	3.81169	
5.84327	4.0175	
6.61367	3.83477	
4.17686	6.11841	
6.50205	7.88139	
4.8878	7.11731	
4.9351	7.37495	
4.91088	7.90861	
4.20224	6.51945	
2.33524	7.43873	
2.42455	7.08474	
3.8612	7.28473	
3.7515	7.72179	
6.60965	4.88222	
6.89564	4.06189	
7.49786	4.12318	
7.31592	4.1227	
7.40058	5.88669	
5.01272	4.60494	
4.25739	5.58729	
4.22775	5.94489	
9.73912	6.51259	
9.97414	6.00242	
0.0236606	5.89241	
1.64967	7.55975	
1.0396	6.95817	
0.949422	9.77415	
9.56419	8.34041	
9.06924	7.40845	
9.54363	8.64407	
9.8937	9.69944	
7.72464	8.11155	
6.78182	9.03523	
6.68632	9.22803	
8.74467	3.60964	
8.2144	3.78242	
8.28868	2.47949	
1.37043	3.49699	
1.24077	2.35307	
9.45883	3.44393	
9.2797	4.38838	
4.00884	5.22131	
2.52258	6.74479	
2.77825	6.13011	
1.19001	6.4169	
3.59114	8.10927	
1.05458	9.74807	
7.48295	5.8084	
7.1565	5.19098	
7.61581	4.52958	
8.28512	5.61169	
8.45368	5.3158	
6.06301	5.26618	
6.04035	5.3363	
6.97063	5.84924	
9.59892	5.98732	
9.11595	6.4915	
8.7572	7.35827	
8.71492	6.66066	
7.48487	7.90792	
8.53579	6.00434	
8.47615	5.99784	
7.08088	7.87235	
7.09865	7.52362	
7.04365	7.80987	
7.02808	7.80007	
9.52097	8.79952	
9.52854	8.77191	
9.32745	8.71923	
8.24265	8.90717	
7.09795	9.26858	
8.50464	9.71849	
8.50593	9.50534	
8.48567	9.37581	
0.330751	9.88018	
6.59404	3.34084	
1.5892	3.15464	
1.62786	3.08037	
0.213157	1.64455	
9.9576	0.905427	
9.67657	3.21202	
9.36556	2.25654	
2.63771	5.84283	
4.96905	9.13004	
3.84615	8.28213	
5.08953	8.42785	
5.03288	8.27101	
3.56417	8.16283	
3.29151	8.79121	
2.46023	7.68689	
2.6295	9.13328	
1.14151	9.27848	
1.14314	8.85672	
6.36368	6.20103	
6.98718	7.74351	
5.70652	5.835	
0.483305	7.83324	
1.14407	8.48557	
1.1444	8.67182	
1.14564	8.80594	
0.530263	7.19927	
0.44674	7.25138	
3.85359	9.59708	
3.78704	9.69404	
4.68593	9.25842	
4.67351	9.28092	
5.0512	4.26107	
5.73182	4.06269	
6.96127	2.76438	
7.42335	2.86927	
8.04359	2.67522	
7.81672	2.84891	
6.48327	1.67951	
5.71841	3.03158	
5.66835	3.02147	
0.229285	4.68572	
0.440577	3.98409	
0.447067	3.70792	
3.05533	2.24691	
2.88962	2.60158	
1.75155	1.48052	
1.1784	1.83364	
0.659799	1.68478	
9.00432	0.203998	
9.58038	0.774517	
8.49605	1.13324	
9.75712	3.26588	
2.54511	5.60592	
2.75265	4.80792	
