timestep = 0
vx	vy
9.7553	5.00939	
3.47928	4.92549	
9.75354	9.97834	
9.7193	9.96156	
9.08078	9.74054	
8.86407	9.40848	
9.74253	9.9829	
6.0345	3.27688	
5.29738	1.44998	
3.50869	1.22516	
2.80465	6.43843	
1.43313	7.39526	
9.51226	8.18914	
9.45494	8.98332	
9.02802	8.79384	
8.42097	9.14418	
7.46892	9.60779	
0.642224	5.37182	
2.70415	4.98111	
2.59118	4.84112	
2.7389	6.3244	
1.75391	6.37345	
0.908859	6.16621	
0.644925	5.57335	
0.571974	7.11956	
0.0347952	7.10379	
2.05883	8.28687	
1.21152	7.74435	
0.915736	7.68149	
1.39022	9.384	
1.87336	8.68267	
6.35526	0.644633	
3.53324	2.48314	
3.83114	0.84194	
2.94237	0.578892	
2.04427	4.47528	
8.36017	8.73652	
7.93564	8.2598	
8.56781	7.52451	
9.01611	8.52087	
9.30492	8.05173	
9.25864	7.94671	
7.40111	8.91653	
7.66668	8.32688	
4.52772	6.57573	
8.44653	7.03534	
8.99393	6.00997	
9.63315	6.25689	
9.72678	6.81204	
2.61068	8.1202	
2.89509	6.53653	
4.31831	6.67432	
2.42094	9.87008	
2.65449	9.69343	
0.277767	8.46411	
0.270116	8.45306	
6.53751	2.42955	
6.7659	1.84908	
6.56039	0.372775	
6.48529	0.416512	
3.96906	3.81882	
3.68436	3.44546	
3.67832	2.87489	
5.79514	3.2118	
5.79669	2.33935	
5.2174	1.84941	
4.89733	2.09684	
4.55161	0.842501	
4.04453	5.00359	
4.63976	5.83402	
8.22138	6.68695	
6.08705	6.18876	
6.45005	6.49339	
4.61144	6.61674	
5.32389	7.28606	
8.03309	4.62045	
4.10721	9.90426	
4.26577	8.82912	
1.12358	4.86503	
2.03425	4.47775	
2.75166	0.275455	
2.70712	9.67718	
3.27217	9.96121	
3.13136	8.44444	
4.05718	8.73788	
3.97424	8.65442	
8.52314	0.914678	
7.57372	0.545758	
9.1207	1.70533	
9.26776	1.60822	
5.54514	3.43346	
4.64316	4.19707	
4.67362	4.2695	
5.19838	1.35907	
4.8454	1.06104	
5.15132	0.161594	
4.59448	0.431425	
3.28593	0.0412079	
3.32848	0.123079	
3.7001	0.456606	
5.97028	5.68549	
6.79276	4.95739	
7.42164	7.17135	
7.35115	8.06861	
7.01904	5.28485	
7.11894	6.04792	
8.36877	5.60164	
8.09584	5.28638	
8.45562	6.11392	
8.21063	6.51802	
6.19641	8.63771	
6.24214	8.97174	
6.21972	8.95851	
6.70772	8.74156	
7.75632	4.56775	
6.65037	4.4141	
6.75557	4.58885	
6.71849	4.20432	
8.3431	4.32255	
9.53766	3.84864	
9.48946	3.78544	
9.31754	4.51376	
9.26633	4.52657	
5.2617	9.7223	
5.02976	9.55116	
4.41314	8.83992	
4.76721	9.0397	
5.35102	8.84812	
5.38937	7.53976	
5.89447	7.91516	
1.27617	0.130324	
1.39644	0.218569	
9.06327	1.8294	
7.685	1.89332	
7.76027	1.74567	
9.91339	0.777054	
9.64613	2.9287	
8.93801	2.49883	
9.081	2.16765	
4.92373	2.27872	
5.25702	3.341	
4.7034	3.44453	
4.76714	3.51912	
4.66373	5.82403	
6.98958	7.13589	
6.33854	6.78646	
6.44349	6.66136	
6.71973	8.62781	
6.60566	8.21686	
7.20419	8.05421	
1.05902	2.32966	
0.870444	3.24365	
0.220442	3.70362	
2.38009	2.96172	
3.30741	2.37776	
3.17798	1.88612	
8.9793	3.34003	
8.75913	2.75144	
8.20622	3.87921	
7.23686	0.294319	
7.52314	0.462261	
5.79176	5.591	
5.52042	5.60814	
6.33821	7.167	
5.9489	7.92037	
5.96285	7.93197	
6.63652	7.90029	
6.69285	7.83206	
6.68994	7.86863	
0.21161	0.325211	
0.136284	0.322876	
1.02075	2.30749	
