timestep = 0
vx	vy
4.56673	1.79786	
7.06294	9.97987	
0.777238	8.39562	
2.88265	6.58619	
1.97886	4.21262	
2.77304	1.78333	
3.77254	1.41683	
0.657712	0.343592	
0.632575	4.4136	
timestep = 0.14
vx	vy
6.90422	8.50062	
3.51338	6.70373	
3.92469	7.73014	
8.60712	7.28342	
8.96878	1.13244	
8.50576	2.55531	
5.21127	3.1791	
5.31137	5.2315	
8.92213	3.35964	
8.60798	7.12868	
7.12947	5.68208	
4.56357	1.79939	
7.06319	9.96348	
0.790033	8.39937	
2.90929	6.58143	
1.96946	4.21412	
2.76178	1.78465	
3.70288	1.39716	
0.68803	0.344922	
0.660645	4.41428	
timestep = 0.15
vx	vy
6.90495	8.50313	
3.50677	6.69848	
3.93774	7.75607	
8.61498	7.28427	
8.97284	1.13464	
8.5147	2.55104	
5.20585	3.16348	
5.25055	5.22345	
8.92199	3.33966	
8.61434	7.14079	
7.11594	5.68301	
4.56087	1.80114	
7.06279	9.95002	
0.798955	8.40233	
2.93019	6.57585	
1.96055	4.21484	
2.74728	1.78084	
3.64461	1.38164	
0.710772	0.348472	
0.685735	4.41422	
timestep = 0.16
vx	vy
6.90623	8.5042	
3.50389	6.69201	
3.95482	7.77948	
8.621	7.28391	
8.97608	1.13453	
8.52057	2.54874	
5.19908	3.14955	
5.19831	5.21923	
8.92016	3.32353	
8.62069	7.15184	
7.10342	5.68533	
4.55892	1.80354	
7.06233	9.93607	
0.806542	8.4032	
2.94807	6.57133	
1.95196	4.21657	
2.73237	1.77449	
3.59749	1.36958	
0.729469	0.350858	
0.707878	4.41459	
timestep = 0.17
vx	vy
6.90673	8.50615	
3.50197	6.68441	
3.97133	7.80128	
8.62648	7.28537	
8.97962	1.13369	
8.52508	2.54623	
5.19142	3.13494	
5.15286	5.21591	
8.91762	3.30929	
8.62411	7.16273	
7.09189	5.68781	
4.55583	1.80529	
7.06117	9.92393	
0.81214	8.406	
2.96164	6.56761	
1.94318	4.21775	
2.7166	1.76514	
3.55598	1.35935	
0.745107	0.353768	
0.726708	4.4154	
timestep = 0.18
vx	vy
6.90863	8.50741	
3.5021	6.67715	
3.98904	7.82103	
8.62969	7.28588	
8.98349	1.13082	
8.52919	2.54484	
5.18588	3.121	
5.11517	5.21584	
8.91445	3.29801	
8.62897	7.1715	
7.08271	5.69111	
4.55555	1.80593	
7.06231	9.91045	
0.816646	8.40669	
2.97316	6.56266	
1.93457	4.21891	
2.70054	1.75497	
3.52142	1.35004	
0.757368	0.355747	
0.74229	4.41516	
timestep = 0.19
vx	vy
6.91015	8.50862	
3.50353	6.66932	
4.00643	7.8384	
8.63453	7.28707	
8.98604	1.12791	
8.53061	2.54505	
5.17986	3.10892	
5.08195	5.21779	
8.91043	3.28902	
8.63185	7.18009	
7.07456	5.69421	
4.55613	1.80845	
7.0634	9.89829	
0.821328	8.40688	
2.98447	6.55847	
1.92729	4.22236	
2.6853	1.74436	
3.49239	1.3417	
0.767142	0.356233	
0.756361	4.41635	
timestep = 0.2
vx	vy
6.9111	8.50932	
3.50531	6.66068	
4.02198	7.85383	
8.6355	7.2879	
8.98897	1.12489	
8.5316	2.54453	
5.17326	3.09586	
5.05306	5.21785	
8.9057	3.27946	
8.63502	7.18616	
7.06672	5.69545	
4.55609	1.80943	
7.06325	9.8875	
0.823052	8.40813	
2.99238	6.55303	
1.92043	4.22274	
2.67089	1.73209	
3.46521	1.3328	
0.775174	0.357019	
0.767367	4.41565	
timestep = 0.21
vx	vy
6.91239	8.50995	
3.50691	6.65286	
4.03726	7.86783	
8.63953	7.28923	
8.99129	1.12215	
8.53128	2.54544	
5.16632	3.08381	
5.02699	5.21948	
8.90051	3.27201	
8.63419	7.19128	
7.06018	5.69616	
4.55524	1.81051	
7.064	9.87701	
0.826253	8.40984	
2.99914	6.54837	
1.9122	4.22524	
2.65627	1.72131	
3.44104	1.32495	
0.782738	0.35836	
0.775801	4.41599	
timestep = 0.22
vx	vy
6.91174	8.51145	
3.50814	6.64539	
4.05031	7.88083	
8.63495	7.2899	
8.9929	1.11992	
8.52992	2.54774	
5.15928	3.07361	
5.00254	5.22247	
8.8944	3.26702	
8.6398	7.19589	
7.05324	5.6985	
4.55491	1.81327	
7.06404	9.86847	
0.828015	8.40934	
3.00487	6.54185	
1.90471	4.22688	
2.6423	1.71025	
3.41884	1.31764	
0.787958	0.358469	
0.783194	4.41659	
timestep = 0.23
vx	vy
6.91119	8.51289	
3.50937	6.63749	
4.0617	7.89339	
8.64593	7.28994	
8.99532	1.11677	
8.52853	2.55014	
5.15237	3.06389	
4.98085	5.22521	
8.88866	3.26208	
8.62934	7.19933	
7.04675	5.70009	
4.55432	1.81651	
7.06407	9.86108	
0.830191	8.40863	
3.01011	6.5353	
1.89905	4.22723	
2.62989	1.69863	
3.39838	1.31109	
0.793593	0.357376	
0.789822	4.41618	
timestep = 0.24
vx	vy
6.9113	8.51426	
3.51213	6.62881	
4.07347	7.90395	
8.62491	7.29133	
8.99771	1.11308	
8.52683	2.55233	
5.14677	3.05476	
4.96215	5.22774	
8.88242	3.25656	
8.65255	7.19892	
7.04109	5.70022	
4.55513	1.81974	
7.06495	9.85432	
0.833093	8.40685	
3.01559	6.52844	
1.89356	4.22733	
2.61859	1.68668	
3.38075	1.30454	
0.798527	0.355206	
0.795326	4.4148	
timestep = 0.25
vx	vy
6.91288	8.51443	
3.51543	6.62082	
4.0865	7.91352	
8.67007	7.29664	
8.99995	1.10914	
8.52508	2.55444	
5.14122	3.04541	
4.9461	5.23027	
8.87538	3.25191	
8.60772	7.19402	
7.0369	5.70001	
4.55681	1.82083	
7.06696	9.84724	
0.83493	8.40759	
3.0196	6.5222	
1.88751	4.22645	
2.6076	1.67565	
3.36524	1.29792	
0.802915	0.35438	
0.798155	4.41298	
timestep = 0.26
vx	vy
6.91312	8.51641	
3.51736	6.61179	
4.09623	7.9215	
8.60041	7.31509	
9.00125	1.10675	
8.52278	2.55725	
5.13574	3.03631	
4.93082	5.23192	
8.86839	3.24689	
8.67891	7.17615	
7.03094	5.69978	
4.55739	1.82286	
7.06713	9.8422	
0.836074	8.40541	
3.0214	6.51462	
1.88152	4.2264	
2.59643	1.66408	
3.34906	1.29047	
0.805551	0.352834	
0.801328	4.41304	
timestep = 0.27
vx	vy
6.9107	8.51493	
3.51941	6.60514	
4.10541	7.92852	
8.67251	7.32915	
9.00107	1.10392	
8.51963	2.56079	
5.12993	3.02901	
4.91639	5.23642	
8.86094	3.2443	
8.60174	7.16307	
7.02721	5.7009	
4.55745	1.82446	
7.06602	9.83629	
0.835886	8.40607	
3.02294	6.50872	
1.87516	4.22703	
2.58588	1.65433	
3.33431	1.28409	
0.807961	0.35147	
0.802895	4.41352	
timestep = 0.28
vx	vy
